Latitude,Longitude
40.0023,-99.9997
40.0017,-99.9867
40.0023,-99.9997
40.0023,-99.9997
40.0023,-99.9791
40.0007,-99.97970000000001
40.0023,-99.9997
40.0009,-99.9973
40.0023,-99.9997
40.0023,-99.9997
40.0023,-99.9997
40.0012,-99.9779
40.0015,-99.9879
40.0023,-99.9997
40.0022,-99.97970000000001
40.0023,-99.9997
40.0008,-99.9911
40.0023,-99.9997
40.0019,-99.9918
40.0023,-99.9997
40.0013,-99.996
40.0023,-99.9997
40.0017,-99.9958
40.0023,-99.9997
40.0013,-99.9884
40.0023,-99.9997
40.0023,-99.9997
40.0008,-99.9875
40.0023,-99.9997
40.001,-99.9862
40.0004,-99.9781
40.0023,-99.9997
40.0023,-99.9917
40.0016,-99.999
40.0023,-99.9997
40.0023,-99.9997
40.002,-99.9947
40.0016,-99.9798
40.0023,-99.9997
40.0023,-99.9997
40.0011,-99.9799
40.0023,-99.9997
40.0023,-99.9997
40.0023,-99.9997
40.0012,-99.9854
40.0023,-99.9997
40.0007,-99.9825
40.0023,-99.9997
40.0023,-99.9997
40.0018,-99.9964
40.0023,-99.9997
40.0023,-99.9997
40.0016,-99.9959
40.0023,-99.9997
40.0023,-99.9939
40.0023,-99.9997
40.0023,-99.9997
40.0004,-99.9922
40.001,-99.9871
40.0023,-99.9997
40.0023,-99.9997
40.0011,-99.9855
40.0023,-99.9997
40.0016,-99.9794
40.0021,-99.9821
40.0023,-99.9997
40.0023,-99.9997
40.0007,-99.9863
40.0008,-99.999
40.0023,-99.9997
40.0019,-99.9799
40.0012,-99.9815
40.0023,-99.9997
40.0023,-99.9997
40.0014,-99.9853
40.0023,-99.9997
40.0018,-99.9977
40.0023,-99.9997
40.0023,-99.9997
40.0009,-99.9966
40.0023,-99.9997
40.0007,-99.9782
40.0022,-99.9941
40.0023,-99.9997
40.0017,-99.99080000000001
40.0021,-99.9946
40.0023,-99.9997
40.0015,-99.9902
40.0011,-99.9964
40.0023,-99.9997
40.0023,-99.9997
40.0023,-99.9997
40.0023,-99.9997
40.0017,-99.9925
40.0023,-99.9997
40.0023,-99.9997
40.0008,-99.9864
40.0023,-99.9997
40.0023,-99.9997
40.0023,-99.9997
40.0013,-99.9946
40.0023,-99.9997
40.0016,-99.982
40.0023,-99.9997
40.0023,-99.9997
40.0002,-99.9916
40.0023,-99.9997
40.0023,-99.9997
40.0023,-99.9997
40.0003,-99.9915
40.001,-99.9947
40.0023,-99.9997
40.0023,-99.982
40.0023,-99.9997
